*** New Session***
31-7-2018 14:40:55
Product Name: Flow 30
81835250 : Rx: [10][19][3F][21][E5][08][FF][34]
81835500 : Rx: [19][BF][21][5A][87][3D][20][33]
81835750 : Rx fail
81836000 : Rx: [10][19][41][22][23][08][FF][34]
81836250 : Rx fail
81836500 : Rx: [19][C0][1E][97][87][3D][20][33]
81836750 : Rx: [10][19][45][24][5A][08][FF][34]
81837000 : Rx: [19][C1][22][D7][87][40][20][33]
81837250 : Rx: [10][19][47][25][23][08][FF][34]
81837500 : Rx: [19][C2][24][17][88][40][20][33]
81837750 : Rx: [10][19][49][27][E5][08][FF][34]
81838000 : Rx: [19][C3][22][57][88][40][20][33]
81838250 : Rx: [10][19][4B][28][3F][08][FF][34]
81838500 : Rx: [19][C4][24][97][88][40][20][33]
81838750 : Rx: [10][19][4D][29][AE][08][FF][34]
81839000 : Rx: [19][C5][24][DA][88][43][20][33]
81839250 : Rx: [10][19][4F][2A][AE][08][FF][34]
81839500 : Rx: [19][C6][24][1D][89][43][20][33]
81839750 : Rx: [10][19][51][2B][07][08][FF][34]
81840000 : Rx: [19][C7][24][60][89][43][20][33]
81840250 : Rx: [10][19][53][2C][AE][08][FF][34]
81840500 : Rx: [19][C8][24][A3][89][43][20][33]
81840750 : Rx: [10][19][55][2D][CA][08][FF][34]
81841000 : Rx: [19][C9][25][E7][89][44][20][33]
81841250 : Rx: [10][19][57][2E][AE][08][FF][34]
81841500 : Rx: [19][CA][24][2B][8A][44][20][33]
81841750 : Rx: [10][19][59][2F][54][09][FF][34]
81842015 : Rx: [19][CB][26][6F][8A][44][20][33]
81842265 : Rx: [10][19][5B][31][CA][08][FF][34]
81842515 : Rx: [19][CC][27][B3][8A][44][20][33]
81842750 : Rx: [10][19][5D][32][8C][09][FF][34]
81843000 : Rx fail
81843250 : Rx fail
81843515 : Rx: [19][CE][28][41][8B][47][20][33]
81843750 : Rx: [10][19][61][34][54][09][FF][34]
81844000 : Rx: [51][FF][01][16][8D][2B][00][00]
