*** New Session***
19-7-2018 15:16:15
Product Name: Flux 30%
105025515 : Rx: [10][19][4A][EE][A8][09][FF][34]
105025765 : Rx: [F0][00][00][00][00][00][00][00]
105026000 : Rx: [10][19][4C][F0][FB][09][FF][34]
105026265 : Rx fail
105026515 : Rx fail
105026765 : Rx: [19][FC][21][26][45][79][20][33]
105027000 : Rx: [10][19][50][F2][4E][0A][FF][34]
105027250 : Rx: [19][FE][22][18][46][78][20][33]
105027515 : Rx: [10][19][52][F3][33][0A][FF][34]
105027765 : Rx: [19][FF][22][8F][46][77][20][33]
105028015 : Rx: [10][19][54][F5][17][0A][FF][34]
105028265 : Rx: [19][00][23][0C][47][7D][20][33]
105028515 : Rx: [10][19][56][F6][33][0A][FF][34]
105028765 : Rx: [19][01][22][80][47][74][20][33]
105029000 : Rx: [10][19][58][F7][33][0A][FF][34]
105029250 : Rx: [19][02][23][FC][47][7C][20][33]
105029500 : Rx: [10][19][5A][F8][86][0A][FF][34]
105029750 : Rx: [19][03][23][77][48][7B][20][33]
105030015 : Rx: [10][19][5C][FA][6A][0A][FF][34]
105030265 : Rx: [19][04][23][F4][48][7D][20][33]
105030500 : Rx: [10][19][5E][FB][F5][0A][FF][34]
105030750 : Rx: [19][05][25][65][49][71][20][33]
105031000 : Rx: [10][19][60][FC][6A][0A][FF][34]
105031265 : Rx: [19][06][23][D4][49][6F][20][33]
105031515 : Rx: [10][19][62][FE][D9][0A][FF][34]
105031750 : Rx: [19][07][24][42][4A][6E][20][33]
105032000 : Rx: [10][19][64][FF][D9][0A][FF][34]
105032250 : Rx: [19][08][24][BD][4A][7B][20][33]
105032515 : Rx: [10][19][66][00][A2][0A][FF][34]
105032765 : Rx: [19][09][24][2B][4B][6E][20][33]
105033015 : Rx: [10][19][68][02][F5][0A][FF][34]
105033250 : Rx: [19][0A][25][9B][4B][70][20][33]
105033515 : Rx: [10][19][6A][02][F5][0A][FF][34]
105033750 : Rx: [51][FF][02][14][87][9E][5C][33]
105034015 : Rx: [51][FF][02][14][87][9E][5C][33]
105034265 : Rx: [19][0B][26][18][4C][7D][20][33]
105034515 : Rx: [10][19][6E][06][B8][0B][FF][34]
105034750 : Rx: [19][0C][28][9C][4C][84][20][33]
105035000 : Rx: [10][19][70][07][D3][0B][FF][34]
