*** New Session***
31-7-2018 14:33:32
Product Name: Flow -30
81392515 : Rx: [19][7E][11][28][0F][14][20][33]
81392765 : Rx: [10][19][01][8B][07][08][FF][34]
81393015 : Rx: [19][7F][0F][3C][0F][14][20][33]
81393265 : Rx: [10][19][03][8C][07][08][FF][34]
81393515 : Rx: [19][80][11][50][0F][14][20][33]
81393765 : Rx: [10][19][05][8D][76][08][FF][34]
81394015 : Rx: [19][81][12][66][0F][16][20][33]
81394265 : Rx: [10][19][07][8E][EB][07][FF][34]
81394515 : Rx: [19][82][11][7C][0F][16][20][33]
81394765 : Rx: [10][19][09][8F][23][08][FF][34]
81395015 : Rx: [19][83][12][92][0F][16][20][33]
81395265 : Rx: [10][19][0B][90][AE][08][FF][34]
81395515 : Rx: [19][84][10][A8][0F][16][20][33]
81395765 : Rx: [10][19][0D][91][92][08][FF][34]
81396015 : Rx: [19][85][12][BE][0F][16][20][33]
81396265 : Rx: [10][19][0F][91][92][08][FF][34]
81396515 : Rx: [19][86][14][D4][0F][16][20][33]
81396765 : Rx: [10][19][11][94][01][09][FF][34]
81397015 : Rx fail
81397265 : Rx: [19][87][15][EA][0F][16][20][33]
81397515 : Rx: [19][88][15][00][10][16][20][33]
81397765 : Rx: [10][19][15][96][C4][09][FF][34]
81398015 : Rx: [19][89][14][1A][10][1A][20][33]
81398265 : Rx: [10][19][17][97][FB][09][FF][34]
81398515 : Rx: [50][FF][FF][01][59][00][C0][08]
81398765 : Rx: [50][FF][FF][01][59][00][C0][08]
81399015 : Rx: [19][8A][14][34][10][1A][20][33]
81399265 : Rx: [10][19][1B][9A][33][0A][FF][34]
81399515 : Rx: [19][8B][16][4E][10][1A][20][33]
81399765 : Rx: [10][19][1D][9B][33][0A][FF][34]
81400015 : Rx: [19][8C][15][69][10][1B][20][33]
81400265 : Rx: [10][19][1F][9D][FB][09][FF][34]
81400515 : Rx: [19][8D][17][84][10][1B][20][33]
81400765 : Rx: [10][19][21][9E][A2][0A][FF][34]
81401015 : Rx: [19][8E][17][9F][10][1B][20][33]
81401265 : Rx: [10][19][23][9F][9C][0B][FF][34]
81401515 : Rx: [19][8F][17][BA][10][1B][20][33]
81401765 : Rx: [10][19][25][A1][F5][0A][FF][34]
81402015 : Rx: [19][90][19][D8][10][1E][20][33]
81402265 : Rx: [10][19][27][A2][80][0B][FF][34]
81402515 : Rx fail
81402765 : Rx fail
81403015 : Rx: [19][92][19][14][11][1E][20][33]
81403265 : Rx: [10][19][2B][A5][5E][0C][FF][34]
81403515 : Rx: [19][93][1A][32][11][1E][20][33]
81403765 : Rx: [10][19][2D][A7][42][0C][FF][34]
81404015 : Rx: [19][94][1B][54][11][22][20][33]
81404265 : Rx: [10][19][2F][A9][B2][0C][FF][34]
81404515 : Rx: [19][95][1A][76][11][22][20][33]
81404765 : Rx: [10][19][31][AA][5E][0C][FF][34]
81405015 : Rx: [19][96][1B][98][11][22][20][33]
81405265 : Rx: [10][19][33][AC][96][0C][FF][34]
81405515 : Rx: [19][97][1B][BA][11][22][20][33]
81405765 : Rx: [10][19][35][AD][3C][0D][FF][34]
81406015 : Rx: [19][98][20][DC][11][22][20][33]
81406265 : Rx: [10][19][37][AF][AC][0D][FF][34]
81406515 : Rx: [19][99][20][FF][11][23][20][33]
81406765 : Rx: [10][19][39][B1][FF][0D][FF][34]
81407015 : Rx: [F0][00][00][00][00][00][00][00]
81407265 : Rx: [10][19][3B][B3][8A][0E][FF][34]
81407515 : Rx: [19][9A][20][22][12][23][20][33]
81407765 : Rx: [10][19][3D][B5][62][10][FF][34]
81408015 : Rx: [19][9B][20][45][12][23][20][33]
81408265 : Rx: [10][19][3F][B7][7E][10][FF][34]
81408515 : Rx: [19][9C][20][7B][12][36][20][33]
81408765 : Rx: [10][19][41][B9][62][10][FF][34]
81409015 : Rx fail
81409265 : Rx: [10][19][43][BB][B5][10][FF][34]
81409515 : Rx: [19][9E][23][E7][12][36][20][33]
81409765 : Rx: [10][19][45][BE][9A][10][FF][34]
81410015 : Rx: [19][9F][23][1D][13][36][20][33]
81410265 : Rx: [10][19][47][C0][94][11][FF][34]
81410515 : Rx: [19][A0][23][69][13][4C][20][33]
81410765 : Rx: [10][19][49][C2][CB][11][FF][34]
81411015 : Rx: [19][A1][23][B5][13][4C][20][33]
81411265 : Rx: [10][19][4B][C4][1E][12][FF][34]
81411515 : Rx: [19][A2][28][01][14][4C][20][33]
81411765 : Rx: [10][19][4D][C7][E1][12][FF][34]
81412015 : Rx: [19][A3][28][4D][14][4C][20][33]
81412265 : Rx: [10][19][4F][C9][A9][12][FF][34]
81412515 : Rx: [19][A4][28][A1][14][54][20][33]
81412765 : Rx: [10][19][51][CC][E1][12][FF][34]
81413015 : Rx: [19][A5][28][F5][14][54][20][33]
81413265 : Rx: [10][19][53][CE][6C][13][FF][34]
81413515 : Rx: [19][A6][28][49][15][54][20][33]
81413765 : Rx: [10][19][55][D1][6C][13][FF][34]
81414015 : Rx fail
81414265 : Rx fail
81414515 : Rx: [19][A8][2D][F7][15][5A][20][33]
81414765 : Rx: [10][19][59][D6][12][14][FF][34]
81415015 : Rx: [51][FF][01][16][8D][2B][00][00]
81415265 : Rx fail
81415515 : Rx: [19][A9][2D][51][16][5A][20][33]
81415765 : Rx: [10][19][5D][DB][CF][15][FF][34]
81416015 : Rx fail
81416265 : Rx: [19][AA][32][AB][16][5A][20][33]
81416515 : Rx: [19][AB][32][12][17][67][20][33]
81416765 : Rx: [10][19][61][E1][C9][16][FF][34]
81417015 : Rx: [19][AC][32][79][17][67][20][33]
81417265 : Rx: [10][19][63][E4][70][17][FF][34]
81417515 : Rx: [19][AD][32][E0][17][67][20][33]
81417765 : Rx: [10][19][65][E7][16][18][FF][34]
81418015 : Rx: [19][AE][38][47][18][67][20][33]
81418265 : Rx: [10][19][67][EA][A1][18][FF][34]
81418515 : Rx: [19][AF][38][AE][18][67][20][33]
81418765 : Rx: [10][19][69][ED][BD][18][FF][34]
81419015 : Rx: [19][B0][38][20][19][72][20][33]
81419265 : Rx fail
81419515 : Rx: [19][B1][38][92][19][72][20][33]
81419765 : Rx fail
81420015 : Rx fail
81420265 : Rx fail
81420515 : Rx: [19][B3][3E][76][1A][72][20][33]
81420765 : Rx: [10][19][71][FB][B1][1A][FF][34]
81421015 : Rx: [19][B4][3E][F0][1A][7A][20][33]
81421265 : Rx: [10][19][73][FE][20][1B][FF][34]
81421515 : Rx: [19][B5][43][6A][1B][7A][20][33]
81421765 : Rx: [10][19][75][01][3C][1B][FF][34]
81422015 : Rx: [19][B6][43][E4][1B][7A][20][33]
81422265 : Rx: [10][19][77][04][10][19][FF][34]
81422515 : Rx: [19][B7][43][5E][1C][7A][20][33]
81422765 : Rx: [10][19][79][07][60][15][FF][34]
81423015 : Rx: [19][B8][43][D2][1C][74][20][33]
81423265 : Rx: [10][19][7B][0A][1C][17][FF][34]
81423515 : Rx: [F0][00][00][00][00][00][00][00]
81423765 : Rx: [10][19][7D][0D][A7][17][FF][34]
81424015 : Rx: [19][B9][43][46][1D][74][20][33]
81424265 : Rx: [10][19][7F][10][85][18][FF][34]
81424515 : Rx: [19][BA][43][BA][1D][74][20][33]
81424765 : Rx: [10][19][81][14][5E][1A][FF][34]
81425015 : Rx: [19][BB][43][2F][1E][75][20][33]
81425265 : Rx: [10][19][83][17][E8][1A][FF][34]
81425515 : Rx: [19][BC][40][A4][1E][75][20][33]
81425765 : Rx: [10][19][85][1B][E2][1B][FF][34]
81426015 : Rx fail
81426265 : Rx fail
81426515 : Rx: [19][BE][40][8E][1F][75][20][33]
81426765 : Rx: [10][19][89][22][14][1D][FF][34]
81427015 : Rx: [19][BF][3A][17][20][89][20][33]
81427265 : Rx: [10][19][8B][26][67][1D][FF][34]
81427515 : Rx: [19][C0][3A][A0][20][89][20][33]
81427765 : Rx fail
81428015 : Rx: [19][C1][3A][29][21][89][20][33]
81428265 : Rx: [10][19][8F][2E][EC][1E][FF][34]
81428515 : Rx: [19][C2][3B][B2][21][89][20][33]
81428765 : Rx: [10][19][91][32][08][1F][FF][34]
81429015 : Rx: [19][C3][3B][47][22][95][20][33]
81429265 : Rx: [10][19][93][36][40][1F][FF][34]
81429515 : Rx: [19][C4][3B][DC][22][95][20][33]
81429765 : Rx: [10][19][95][3A][3A][20][FF][34]
81430015 : Rx: [19][C5][3E][71][23][95][20][33]
81430265 : Rx: [10][19][97][3E][AF][1F][FF][34]
81430515 : Rx: [19][C6][3E][06][24][95][20][33]
81430765 : Rx: [10][19][99][42][02][20][FF][34]
81431015 : Rx: [19][C7][3E][A2][24][9C][20][33]
81431265 : Rx: [10][19][9B][46][3A][20][FF][34]
81431515 : Rx: [50][FF][FF][01][59][00][C0][08]
81431765 : Rx: [50][FF][FF][01][59][00][C0][08]
81432015 : Rx: [19][C8][3E][3E][25][9C][20][33]
81432265 : Rx: [10][19][9F][4F][A9][20][FF][34]
81432515 : Rx: [19][C9][3F][DA][25][9C][20][33]
81432765 : Rx: [10][19][A1][53][18][21][FF][34]
81433015 : Rx: [19][CA][3F][76][26][9C][20][33]
81433265 : Rx: [10][19][A3][57][4F][21][FF][34]
81433515 : Rx: [19][CB][3F][15][27][9F][20][33]
81433765 : Rx: [10][19][A5][5C][12][22][FF][34]
81434015 : Rx: [19][CC][41][B4][27][9F][20][33]
81434265 : Rx: [10][19][A7][5E][2E][22][FF][34]
81434515 : Rx: [19][CD][41][53][28][9F][20][33]
81434765 : Rx: [10][19][A9][64][D4][22][FF][34]
81435015 : Rx fail
81435265 : Rx fail
81435515 : Rx fail
81435765 : Rx fail
81436015 : Rx: [19][D0][43][44][2A][A9][20][33]
81436265 : Rx: [10][19][AF][72][AC][24][FF][34]
81436515 : Rx: [19][D1][46][ED][2A][A9][20][33]
81436765 : Rx: [10][19][B1][77][AC][24][FF][34]
81437015 : Rx: [19][D2][46][96][2B][A9][20][33]
81437265 : Rx fail
81437515 : Rx fail
81437765 : Rx: [10][19][B5][80][53][25][FF][34]
81438015 : Rx: [19][D4][47][FE][2C][B4][20][33]
81438265 : Rx: [10][19][B7][85][00][25][FF][34]
81438515 : Rx: [19][D5][47][B2][2D][B4][20][33]
81438765 : Rx: [10][19][B9][8A][C8][24][FF][34]
81439015 : Rx: [19][D6][46][66][2E][B4][20][33]
81439265 : Rx fail
81439515 : Rx fail
81439765 : Rx: [10][19][BD][93][37][25][FF][34]
81440015 : Rx: [F0][00][00][00][00][00][00][00]
81440265 : Rx: [10][19][BF][98][FA][25][FF][34]
81440515 : Rx: [19][D8][48][D2][2F][B6][20][33]
81440765 : Rx fail
81441015 : Rx fail
81441265 : Rx: [10][19][C3][A2][47][27][FF][34]
81441515 : Rx fail
81441765 : Rx: [10][19][C5][A7][D2][27][FF][34]
81442015 : Rx: [19][DB][4B][04][32][BE][20][33]
81442265 : Rx: [10][19][C7][AD][1F][29][FF][34]
81442515 : Rx: [19][DC][4D][C2][32][BE][20][33]
81442765 : Rx: [10][19][C9][B2][35][2A][FF][34]
81443015 : Rx: [19][DD][4D][80][33][BE][20][33]
81443265 : Rx: [10][19][CB][B7][C6][29][FF][34]
81443515 : Rx: [19][DE][50][4D][34][CD][20][33]
81443765 : Rx: [10][19][CD][BD][8E][29][FF][34]
81444015 : Rx: [19][DF][50][1A][35][CD][20][33]
