*** New Session***
25-7-2018 15:56:54
Product Name: 30 Flux
25335437 : Rx: [10][19][0E][DF][E2][04][FF][34]
25335687 : Rx: [19][09][1A][49][6A][3A][20][33]
25335937 : Rx: [10][19][10][E0][57][04][FF][34]
25336187 : Rx: [19][0A][16][49][6A][00][20][33]
25336437 : Rx: [10][19][12][E1][C6][04][FF][34]
25336687 : Rx fail
25336937 : Rx fail
25337187 : Rx: [19][0B][19][7F][6A][36][20][33]
25337437 : Rx: [10][19][16][E2][FD][04][FF][34]
25337687 : Rx: [19][0D][1A][EE][6A][3A][20][33]
25337937 : Rx: [10][19][18][E2][19][05][FF][34]
25338187 : Rx: [19][0E][1A][28][6B][3A][20][33]
25338437 : Rx: [10][19][1A][E3][C6][04][FF][34]
25338687 : Rx: [19][0F][19][5A][6B][32][20][33]
25338937 : Rx: [10][19][1C][E4][88][05][FF][34]
25339187 : Rx: [19][10][1D][9B][6B][41][20][33]
25339437 : Rx: [10][19][1E][E4][C0][05][FF][34]
25339687 : Rx: [19][11][1E][DC][6B][41][20][33]
25339937 : Rx: [10][19][20][E5][19][05][FF][34]
25340187 : Rx: [50][FF][FF][01][59][00][54][0B]
25340437 : Rx fail
25340687 : Rx fail
25340937 : Rx: [19][12][1C][19][6C][3D][20][33]
25341187 : Rx: [19][13][1B][55][6C][3C][20][33]
25341437 : Rx fail
25341687 : Rx: [10][19][26][E7][DC][05][FF][34]
25341937 : Rx: [10][19][28][E8][6C][05][FF][34]
25342187 : Rx fail
25342437 : Rx: [19][15][1C][D7][6C][3E][20][33]
25342687 : Rx fail
25342937 : Rx fail
25343187 : Rx: [10][19][2C][E9][C0][05][FF][34]
25343437 : Rx: [10][19][2E][EA][F7][05][FF][34]
25343687 : Rx fail
25343937 : Rx fail
25344187 : Rx: [19][18][1F][98][6D][44][20][33]
25344437 : Rx fail
25344687 : Rx fail
25344937 : Rx: [10][19][32][EB][51][05][FF][34]
25345187 : Rx fail
25345437 : Rx fail
25345687 : Rx: [19][1B][1D][5A][6E][3E][20][33]
25345937 : Rx fail
25346187 : Rx fail
25346437 : Rx: [10][19][38][ED][13][06][FF][34]
25346687 : Rx fail
25346937 : Rx fail
25347187 : Rx: [19][1E][21][2E][6F][4B][20][33]
25347437 : Rx: [10][19][3E][F0][F7][05][FF][34]
25347687 : Rx: [19][20][20][B1][6F][47][20][33]
25347937 : Rx: [10][19][40][F0][82][06][FF][34]
25348187 : Rx: [19][21][22][FB][6F][4A][20][33]
25348437 : Rx: [10][19][42][F1][82][06][FF][34]
25348687 : Rx: [F0][00][00][00][00][00][00][00]
25348937 : Rx: [10][19][44][F2][D6][06][FF][34]
25349187 : Rx: [19][22][21][3C][70][41][20][33]
25349437 : Rx: [10][19][46][F3][66][06][FF][34]
25349687 : Rx: [19][23][24][89][70][4D][20][33]
25349937 : Rx: [10][19][48][F4][D6][06][FF][34]
25350187 : Rx: [19][24][21][C5][70][3C][20][33]
25350437 : Rx: [10][19][4A][F5][82][06][FF][34]
25350687 : Rx: [19][25][22][0F][71][4A][20][33]
