*** New Session***
31-7-2018 08:56:19
Product Name: Genius -30
61158656 : Rx: [10][19][29][97][5A][16][FF][34]
61158906 : Rx: [50][FF][FF][01][59][00][20][08]
61159156 : Rx: [50][FF][FF][01][59][00][20][08]
61159406 : Rx fail
61159656 : Rx: [10][19][2D][99][E3][0D][FF][34]
61159906 : Rx: [19][C9][00][2D][2C][12][00][30]
61160156 : Rx: [10][19][2F][9B][0F][10][FF][34]
61160406 : Rx: [19][CA][00][3E][2C][11][00][30]
61160656 : Rx: [10][19][31][9E][72][12][FF][34]
61160906 : Rx: [19][CB][00][4F][2C][11][00][30]
61161156 : Rx: [10][19][33][A1][38][17][FF][34]
61161406 : Rx: [19][CC][00][5D][2C][0E][00][30]
61161656 : Rx: [10][19][35][A5][9B][19][FF][34]
61161906 : Rx fail
61162156 : Rx: [19][CD][00][68][2C][0B][00][30]
61162406 : Rx fail
61162656 : Rx fail
61162906 : Rx: [19][CF][00][7C][2C][0A][00][30]
61163156 : Rx: [10][19][3B][B1][99][1E][FF][34]
61163406 : Rx: [19][D0][00][87][2C][0B][00][30]
61163656 : Rx: [10][19][3D][B4][99][1E][FF][34]
61163906 : Rx: [19][D1][00][98][2C][11][00][30]
61164156 : Rx: [10][19][3F][B6][AD][16][FF][34]
61164406 : Rx: [19][D2][00][AA][2C][12][00][30]
61164656 : Rx: [10][19][41][B8][FD][12][FF][34]
61164906 : Rx: [19][D3][00][BA][2C][10][00][30]
61165156 : Rx: [10][19][43][BC][0C][15][FF][34]
61165406 : Rx: [19][D4][00][C7][2C][0D][00][30]
61165656 : Rx fail
61165906 : Rx: [19][D5][00][D3][2C][0C][00][30]
61166156 : Rx: [10][19][47][C1][C7][1B][FF][34]
61166406 : Rx: [19][D6][00][DD][2C][0A][00][30]
61166656 : Rx: [10][19][49][C7][F2][1D][FF][34]
61166906 : Rx: [19][D7][00][E5][2C][08][00][30]
61167156 : Rx: [10][19][4B][CA][02][20][FF][34]
61167406 : Rx: [F0][00][00][00][00][00][00][00]
61167656 : Rx: [10][19][4D][CD][F0][22][FF][34]
61167906 : Rx: [19][D8][00][EE][2C][09][00][30]
61168156 : Rx: [10][19][4F][D4][F6][21][FF][34]
61168406 : Rx: [19][D9][00][FC][2C][0E][00][30]
61168656 : Rx: [10][19][51][D7][40][1F][FF][34]
61168906 : Rx: [19][DA][00][0D][2D][11][00][30]
61169156 : Rx: [10][19][53][D9][A7][17][FF][34]
61169406 : Rx: [19][DB][00][20][2D][13][00][30]
61169656 : Rx: [10][19][55][DD][E1][12][FF][34]
61169906 : Rx: [19][DC][00][32][2D][12][00][30]
61170156 : Rx: [10][19][57][DD][E1][12][FF][34]
61170406 : Rx: [19][DD][00][43][2D][11][00][30]
61170671 : Rx: [10][19][59][E1][38][17][FF][34]
61170921 : Rx: [19][DE][00][52][2D][0F][00][30]
61171171 : Rx: [10][19][5B][E6][7F][19][FF][34]
61171421 : Rx: [19][DF][00][5E][2D][0C][00][30]
61171671 : Rx: [10][19][5D][E9][AB][1B][FF][34]
61171921 : Rx: [19][E0][00][68][2D][0A][00][30]
61172171 : Rx: [10][19][5F][E9][99][1E][FF][34]
61172421 : Rx: [19][E1][00][72][2D][0A][00][30]
61172671 : Rx: [10][19][61][E9][99][1E][FF][34]
61172921 : Rx: [19][E2][00][7C][2D][0A][00][30]
61173171 : Rx: [10][19][63][F7][59][24][FF][34]
61173421 : Rx: [19][E3][00][85][2D][09][00][30]
61173671 : Rx: [10][19][65][FB][16][26][FF][34]
