*** New Session***
31-7-2018 08:56:19
Product Name: Genius -30
61254671 : Rx: [10][19][A9][93][28][3A][FF][34]
61254921 : Rx: [19][7C][6D][39][5D][E8][00][30]
61255171 : Rx: [10][19][AB][99][F1][39][FF][34]
61255421 : Rx: [19][7D][6C][0C][5E][D3][00][30]
61255671 : Rx: [10][19][AD][9E][F1][39][FF][34]
61255921 : Rx: [19][7E][57][BC][5E][B0][00][30]
61256171 : Rx: [10][19][AF][A9][F1][39][FF][34]
61256421 : Rx: [19][7F][57][6C][5F][B0][00][30]
61256671 : Rx: [10][19][B1][AF][B9][39][FF][34]
61256921 : Rx: [19][80][45][01][60][95][00][30]
61257171 : Rx fail
61257421 : Rx: [10][19][B3][BA][B9][39][FF][34]
61257671 : Rx: [10][19][B5][BA][D5][39][FF][34]
61257921 : Rx: [50][FF][FF][01][59][00][20][08]
61258171 : Rx: [50][FF][FF][01][59][00][20][08]
61258421 : Rx: [19][82][2C][EC][60][6D][00][30]
61258671 : Rx: [10][19][B9][CB][F1][39][FF][34]
61258921 : Rx: [19][83][26][50][61][64][00][30]
61259171 : Rx fail
61259421 : Rx: [19][84][21][AC][61][5C][00][30]
61259671 : Rx: [10][19][BD][DE][D5][39][FF][34]
61259921 : Rx: [19][85][1A][FF][61][53][00][30]
61260171 : Rx: [10][19][BF][E5][F1][39][FF][34]
61260421 : Rx: [19][86][1A][50][62][51][00][30]
61260671 : Rx: [10][19][C1][EA][28][3A][FF][34]
61260921 : Rx: [19][87][1B][9F][62][4F][00][30]
61261171 : Rx: [10][19][C3][F6][28][3A][FF][34]
61261421 : Rx: [19][88][18][EB][62][4C][00][30]
61261671 : Rx: [10][19][C5][FB][28][3A][FF][34]
61261921 : Rx: [19][89][16][36][63][4B][00][30]
61262171 : Rx: [10][19][C7][01][28][3A][FF][34]
61262421 : Rx: [19][8A][16][81][63][4B][00][30]
61262671 : Rx: [10][19][C9][0C][28][3A][FF][34]
61262921 : Rx: [19][8B][00][CA][63][49][00][30]
61263171 : Rx: [10][19][CB][11][28][3A][FF][34]
61263421 : Rx: [19][8C][00][17][64][4D][00][30]
61263671 : Rx: [10][19][CD][17][DB][38][FF][34]
61263921 : Rx: [19][8D][00][64][64][4D][00][30]
61264171 : Rx: [10][19][CF][20][21][32][FF][34]
61264421 : Rx: [19][8E][00][C0][64][5C][00][30]
61264671 : Rx: [10][19][D1][25][E6][2D][FF][34]
61264921 : Rx: [19][8F][00][1E][65][5E][00][30]
61265171 : Rx: [10][19][D3][28][53][25][FF][34]
61265421 : Rx: [19][90][00][7B][65][5D][00][30]
61265671 : Rx: [10][19][D5][2F][FC][20][FF][34]
61265921 : Rx: [19][91][00][D4][65][59][00][30]
61266171 : Rx: [10][19][D7][31][C1][1C][FF][34]
61266421 : Rx fail
61266671 : Rx fail
61266921 : Rx: [19][92][00][2D][66][59][00][30]
61267171 : Rx fail
61267421 : Rx fail
61267671 : Rx: [10][19][DD][37][A0][0F][FF][34]
61267921 : Rx: [19][94][00][C3][66][4B][00][30]
