*** New Session***
31-7-2018 09:00:07
Product Name: Genius 30
61387671 : Rx: [10][19][7D][76][35][05][FF][34]
61387921 : Rx: [19][76][00][E1][68][0E][00][30]
61388156 : Rx: [10][19][7F][78][FD][04][FF][34]
61388406 : Rx: [19][77][00][EE][68][0D][00][30]
61388656 : Rx: [10][19][81][79][FD][04][FF][34]
61388906 : Rx: [19][78][00][01][69][13][00][30]
61389156 : Rx fail
61389406 : Rx: [19][79][00][15][69][14][00][30]
61389656 : Rx fail
61389906 : Rx fail
61390156 : Rx: [50][FF][FF][01][59][00][20][08]
61390406 : Rx fail
61390656 : Rx fail
61390906 : Rx: [10][19][89][7C][F1][06][FF][34]
61391156 : Rx: [10][19][8B][7D][82][06][FF][34]
61391406 : Rx: [19][7C][00][65][69][1E][00][30]
61391656 : Rx: [10][19][8D][7E][0D][07][FF][34]
61391906 : Rx: [19][7D][00][83][69][1E][00][30]
61392156 : Rx: [10][19][8F][7F][0D][07][FF][34]
61392406 : Rx: [19][7E][00][A1][69][1E][00][30]
61392656 : Rx: [10][19][91][80][0D][07][FF][34]
61392906 : Rx: [19][7F][18][C5][69][24][00][30]
61393156 : Rx: [10][19][93][80][45][07][FF][34]
61393406 : Rx: [19][80][19][EA][69][25][00][30]
61393656 : Rx: [10][19][95][82][98][07][FF][34]
61393906 : Rx: [19][81][1C][12][6A][28][00][30]
61394156 : Rx: [10][19][97][82][29][07][FF][34]
61394406 : Rx: [19][82][1C][40][6A][2E][00][30]
61394656 : Rx: [10][19][99][82][29][07][FF][34]
61394906 : Rx: [19][83][1D][6B][6A][2B][00][30]
61395156 : Rx: [10][19][9B][85][23][08][FF][34]
61395406 : Rx: [19][84][1E][9B][6A][30][00][30]
61395656 : Rx: [10][19][9D][85][7C][07][FF][34]
61395906 : Rx: [19][85][1F][CF][6A][34][00][30]
61396156 : Rx: [10][19][9F][86][23][08][FF][34]
61396406 : Rx: [19][86][20][04][6B][35][00][30]
61396656 : Rx: [10][19][A1][88][07][08][FF][34]
61396906 : Rx: [19][87][21][3D][6B][39][00][30]
61397156 : Rx: [10][19][A3][89][5A][08][FF][34]
61397406 : Rx: [19][88][22][74][6B][37][00][30]
61397656 : Rx: [10][19][A5][89][3F][08][FF][34]
61397906 : Rx: [19][89][22][AE][6B][3A][00][30]
61398156 : Rx: [10][19][A7][8B][D0][07][FF][34]
61398406 : Rx: [F0][00][00][00][00][00][00][00]
61398656 : Rx: [10][19][A9][8B][76][08][FF][34]
61398906 : Rx: [19][8A][23][EB][6B][3D][00][30]
61399156 : Rx: [10][19][AB][8B][5A][08][FF][34]
61399406 : Rx: [19][8B][24][28][6C][3D][00][30]
61399656 : Rx: [10][19][AD][8E][B4][07][FF][34]
61399906 : Rx: [19][8C][25][67][6C][3F][00][30]
61400156 : Rx: [10][19][AF][8F][92][08][FF][34]
61400406 : Rx: [19][8D][26][A2][6C][3B][00][30]
61400656 : Rx: [10][19][B1][90][CA][08][FF][34]
