*** New Session***
19-7-2018 15:52:21
Product Name: Flux 0W
107192578 : Rx: [19][E3][00][5A][F8][00][20][30]
107192828 : Rx: [10][19][14][FB][4D][01][FF][34]
107193078 : Rx: [19][E4][00][5A][F8][00][20][30]
107193328 : Rx: [10][19][16][FB][69][01][FF][34]
107193578 : Rx: [19][E5][00][5A][F8][00][20][30]
107193828 : Rx: [10][19][18][FC][84][01][FF][34]
107194078 : Rx: [19][E6][00][5A][F8][00][20][33]
107194328 : Rx: [10][19][1A][FC][BC][01][FF][34]
107194578 : Rx: [19][E7][00][5A][F8][00][20][33]
107194828 : Rx: [10][19][1C][FC][F4][01][FF][34]
107195078 : Rx: [50][FF][FF][01][59][00][54][0B]
107195328 : Rx: [50][FF][FF][01][59][00][54][0B]
107195578 : Rx: [19][E8][00][5A][F8][00][20][33]
107195828 : Rx: [10][19][20][FD][F4][01][FF][34]
107196078 : Rx: [19][E9][00][5A][F8][00][20][33]
107196328 : Rx: [10][19][22][FD][0F][02][FF][34]
107196578 : Rx: [19][EA][00][5A][F8][00][20][33]
107196828 : Rx: [10][19][24][FD][9A][02][FF][34]
107197078 : Rx: [19][EB][00][5A][F8][00][20][33]
107197328 : Rx: [10][19][26][FE][09][03][FF][34]
107197578 : Rx: [19][EC][00][5A][F8][00][20][33]
107197828 : Rx: [10][19][28][FE][78][03][FF][34]
107198078 : Rx: [19][ED][00][5A][F8][00][20][33]
107198328 : Rx: [10][19][2A][FE][78][03][FF][34]
107198578 : Rx: [19][EE][00][5A][F8][00][20][33]
107198828 : Rx: [10][19][2C][FF][09][03][FF][34]
107199078 : Rx: [19][EF][00][5A][F8][00][20][33]
107199328 : Rx: [10][19][2E][FF][EE][02][FF][34]
107199578 : Rx: [19][F0][00][5A][F8][00][20][33]
107199828 : Rx: [10][19][30][FF][EE][02][FF][34]
107200078 : Rx: [19][F1][00][5A][F8][00][20][33]
107200328 : Rx: [10][19][32][00][D2][02][FF][34]
107200578 : Rx: [19][F2][00][5A][F8][00][20][33]
107200828 : Rx: [10][19][34][00][EE][02][FF][34]
107201078 : Rx fail
107201328 : Rx: [19][F3][00][5A][F8][00][20][33]
107201578 : Rx: [19][F4][00][5A][F8][00][20][33]
107201828 : Rx: [10][19][38][01][09][03][FF][34]
107202078 : Rx fail
107202328 : Rx: [10][19][3A][01][09][03][FF][34]
107202578 : Rx: [19][F6][00][5A][F8][00][20][33]
107202828 : Rx: [10][19][3C][02][09][03][FF][34]
107203078 : Rx fail
107203328 : Rx: [10][19][3E][02][09][03][FF][34]
107203578 : Rx fail
107203828 : Rx fail
