*** New Session***
19-7-2018 15:18:48
Product Name: Flux -30%
105178515 : Rx: [10][19][F6][61][AE][08][FF][34]
105178765 : Rx: [19][1B][22][9F][CF][00][20][33]
105179015 : Rx: [10][19][F8][63][A8][09][FF][34]
105179250 : Rx fail
105179515 : Rx: [19][1C][23][9F][CF][00][20][33]
105179765 : Rx: [19][1D][26][9F][CF][00][20][33]
105180000 : Rx: [10][19][FC][65][48][0B][FF][34]
105180250 : Rx: [19][1E][28][9F][CF][00][20][33]
105180515 : Rx: [10][19][FE][67][B8][0B][FF][34]
105180765 : Rx: [19][1F][29][CB][CF][2C][20][33]
105181015 : Rx: [10][19][00][68][9C][0B][FF][34]
105181250 : Rx fail
105181515 : Rx fail
105181750 : Rx: [19][21][29][CB][CF][00][20][33]
105182015 : Rx fail
105182265 : Rx: [50][FF][FF][01][59][00][54][0B]
105182515 : Rx: [50][FF][FF][01][59][00][54][0B]
105182765 : Rx: [19][22][29][CB][CF][00][20][33]
105183015 : Rx: [10][19][08][6E][EF][0B][FF][34]
105183250 : Rx: [19][23][2A][F8][CF][2D][20][33]
105183500 : Rx: [10][19][0A][6F][27][0C][FF][34]
105183765 : Rx: [19][24][2A][F8][CF][00][20][33]
105184000 : Rx: [10][19][0C][71][D3][0B][FF][34]
105184250 : Rx: [19][25][2B][25][D0][2D][20][33]
105184515 : Rx: [10][19][0E][72][0B][0C][FF][34]
105184750 : Rx: [19][26][2B][52][D0][2D][20][33]
105185015 : Rx: [10][19][10][74][EF][0B][FF][34]
105185250 : Rx: [19][27][2A][7E][D0][2C][20][33]
105185500 : Rx: [10][19][12][75][7A][0C][FF][34]
105185750 : Rx: [19][28][2C][B0][D0][32][20][33]
105186015 : Rx: [10][19][14][75][7A][0C][FF][34]
105186250 : Rx: [19][29][2E][E5][D0][35][20][33]
105186500 : Rx: [10][19][16][78][21][0D][FF][34]
105186765 : Rx: [19][2A][30][1E][D1][39][20][33]
105187000 : Rx: [10][19][18][7A][90][0D][FF][34]
105187250 : Rx: [19][2B][30][56][D1][38][20][33]
105187515 : Rx: [10][19][1A][7C][21][0D][FF][34]
105187765 : Rx: [19][2C][2E][82][D1][2C][20][33]
105188000 : Rx: [10][19][1C][7D][C7][0D][FF][34]
105188250 : Rx: [19][2D][2F][BB][D1][39][20][33]
105188515 : Rx: [10][19][1E][7F][AC][0D][FF][34]
105188750 : Rx: [19][2E][2F][E8][D1][2D][20][33]
105189015 : Rx: [10][19][20][80][3C][0D][FF][34]
105189265 : Rx: [19][2F][2F][E8][D1][00][20][33]
105189500 : Rx: [10][19][22][82][E9][0C][FF][34]
105189750 : Rx: [19][30][2F][1B][D2][33][20][33]
105190000 : Rx: [10][19][24][84][E3][0D][FF][34]
105190265 : Rx: [19][31][2F][5F][D2][44][20][33]
105190515 : Rx: [10][19][26][85][A6][0E][FF][34]
105190750 : Rx: [F0][00][00][00][00][00][00][00]
105191015 : Rx: [10][19][28][88][4C][0F][FF][34]
105191250 : Rx: [19][32][2F][B0][D2][51][20][33]
105191515 : Rx: [10][19][2A][89][0F][10][FF][34]
105191765 : Rx: [19][33][2F][FB][D2][4B][20][33]
105192015 : Rx: [10][19][2C][8B][F3][0F][FF][34]
105192265 : Rx: [19][34][2F][40][D3][45][20][33]
105192500 : Rx: [10][19][2E][8D][BB][0F][FF][34]
105192765 : Rx: [19][35][2F][85][D3][45][20][33]
105193000 : Rx: [10][19][30][8F][F3][0F][FF][34]
105193250 : Rx: [19][36][2F][CF][D3][4A][20][33]
105193500 : Rx: [10][19][32][91][0F][10][FF][34]
105193765 : Rx: [19][37][2F][19][D4][4A][20][33]
105194000 : Rx fail
105194250 : Rx fail
105194500 : Rx: [10][19][36][95][7E][10][FF][34]
105194765 : Rx: [19][39][31][B3][D4][4D][20][33]
105195015 : Rx: [10][19][38][97][D1][10][FF][34]
105195265 : Rx: [19][3A][31][04][D5][51][20][33]
105195515 : Rx: [10][19][3A][99][ED][10][FF][34]
105195765 : Rx: [19][3B][31][55][D5][51][20][33]
105196000 : Rx: [10][19][3C][9B][09][11][FF][34]
105196265 : Rx: [19][3C][31][A7][D5][52][20][33]
105196500 : Rx: [10][19][3E][9E][40][11][FF][34]
105196750 : Rx: [19][3D][31][FB][D5][54][20][33]
105197015 : Rx: [10][19][40][A0][94][11][FF][34]
105197250 : Rx: [19][3E][36][4F][D6][54][20][33]
105197515 : Rx: [10][19][42][A2][94][11][FF][34]
105197765 : Rx: [19][3F][36][A4][D6][55][20][33]
105198000 : Rx: [10][19][44][A4][94][11][FF][34]
105198250 : Rx fail
105198515 : Rx: [19][40][36][FA][D6][56][20][33]
105198750 : Rx: [51][FF][02][14][87][9E][5C][33]
105199015 : Rx: [51][FF][02][14][87][9E][5C][33]
105199250 : Rx: [19][41][36][50][D7][56][20][33]
105199515 : Rx: [10][19][4A][AB][1E][12][FF][34]
105199750 : Rx: [19][42][39][AA][D7][5A][20][33]
105200015 : Rx: [10][19][4C][AD][03][12][FF][34]
105200265 : Rx: [19][43][39][03][D8][59][20][33]
105200500 : Rx: [10][19][4E][AF][1E][12][FF][34]
105200750 : Rx: [19][44][39][5C][D8][59][20][33]
105201000 : Rx: [10][19][50][B1][1E][12][FF][34]
105201265 : Rx: [19][45][39][B6][D8][5A][20][33]
105201515 : Rx: [10][19][52][B3][56][12][FF][34]
105201750 : Rx: [19][46][39][10][D9][5A][20][33]
105202000 : Rx: [10][19][54][B6][A9][12][FF][34]
105202250 : Rx: [19][47][3C][6E][D9][5E][20][33]
105202515 : Rx: [10][19][56][B8][8E][12][FF][34]
105202750 : Rx: [19][48][3C][CA][D9][5C][20][33]
105203000 : Rx: [10][19][58][BA][8E][12][FF][34]
