*** New Session***
25-7-2018 15:50:14
Product Name: Flux -30
24935421 : Rx: [10][19][1B][1D][DC][05][FF][34]
24935687 : Rx: [19][1A][0C][5E][49][00][20][33]
24935937 : Rx: [10][19][1D][1E][DC][05][FF][34]
24936171 : Rx fail
24936437 : Rx: [F0][00][00][00][00][00][00][00]
24936671 : Rx fail
24936921 : Rx fail
24937187 : Rx: [19][1B][0C][5E][49][00][20][33]
24937421 : Rx fail
24937687 : Rx: [19][1D][0B][5E][49][00][20][33]
24937937 : Rx: [10][19][25][21][C0][05][FF][34]
24938171 : Rx: [19][1E][0B][5E][49][00][20][33]
24938421 : Rx: [10][19][27][22][9E][06][FF][34]
24938671 : Rx: [19][1F][0D][5E][49][00][20][33]
24938937 : Rx: [10][19][29][22][9E][06][FF][34]
24939171 : Rx: [19][20][0D][5E][49][00][20][33]
24939421 : Rx: [10][19][2B][22][9E][06][FF][34]
24939687 : Rx: [19][21][0D][5E][49][00][20][33]
24939937 : Rx: [10][19][2D][24][9E][06][FF][34]
24940171 : Rx: [19][22][0E][5E][49][00][20][33]
24940437 : Rx: [10][19][2F][25][0D][07][FF][34]
24940671 : Rx fail
24940921 : Rx: [19][23][0F][5E][49][00][20][33]
24941171 : Rx: [19][24][0E][5E][49][00][20][33]
24941421 : Rx fail
24941671 : Rx: [10][19][33][27][F1][06][FF][34]
24941937 : Rx: [10][19][35][28][F1][06][FF][34]
24942171 : Rx fail
24942437 : Rx: [19][26][0E][5E][49][00][20][33]
24942671 : Rx fail
24942921 : Rx fail
24943171 : Rx: [10][19][39][29][29][07][FF][34]
24943437 : Rx: [10][19][3B][2A][9E][06][FF][34]
24943671 : Rx fail
24943921 : Rx fail
24944171 : Rx: [19][29][0D][5E][49][00][20][33]
24944421 : Rx fail
24944671 : Rx fail
24944937 : Rx: [50][FF][FF][01][59][00][54][0B]
24945171 : Rx fail
24945421 : Rx fail
24945671 : Rx: [19][2B][0D][5E][49][00][20][33]
24945921 : Rx fail
24946171 : Rx fail
24946421 : Rx: [10][19][45][2E][0D][07][FF][34]
24946671 : Rx fail
24946921 : Rx fail
24947171 : Rx: [19][2E][0E][5E][49][00][20][33]
24947437 : Rx: [10][19][4B][31][9E][06][FF][34]
24947671 : Rx: [19][30][0E][5E][49][00][20][33]
24947921 : Rx: [10][19][4D][32][60][07][FF][34]
24948171 : Rx fail
24948437 : Rx: [10][19][4F][33][45][07][FF][34]
24948687 : Rx: [19][32][0F][5E][49][00][20][33]
24948937 : Rx: [10][19][51][33][29][07][FF][34]
24949187 : Rx: [19][33][0F][5E][49][00][20][33]
24949437 : Rx: [10][19][53][34][60][07][FF][34]
24949671 : Rx: [19][34][10][5E][49][00][20][33]
24949937 : Rx: [10][19][55][36][B4][07][FF][34]
24950187 : Rx: [19][35][10][5E][49][00][20][33]
24950437 : Rx: [10][19][57][36][60][07][FF][34]
24950671 : Rx fail
24950937 : Rx: [10][19][59][37][60][07][FF][34]
24951171 : Rx fail
24951421 : Rx fail
24951687 : Rx: [19][38][10][5E][49][00][20][33]
24951937 : Rx: [10][19][5D][39][D0][07][FF][34]
24952171 : Rx: [19][39][0F][5E][49][00][20][33]
24952437 : Rx: [10][19][5F][3A][98][07][FF][34]
24952671 : Rx: [F0][00][00][00][00][00][00][00]
24952937 : Rx: [10][19][61][3B][B4][07][FF][34]
24953171 : Rx: [19][3A][10][5E][49][00][20][33]
24953437 : Rx: [10][19][63][3C][EB][07][FF][34]
24953687 : Rx: [19][3B][10][5E][49][00][20][33]
24953937 : Rx: [10][19][65][3D][7C][07][FF][34]
24954187 : Rx: [19][3C][0F][5E][49][00][20][33]
24954437 : Rx: [10][19][67][3E][98][07][FF][34]
24954687 : Rx: [19][3D][10][5E][49][00][20][33]
24954937 : Rx: [10][19][69][3F][B4][07][FF][34]
24955187 : Rx: [19][3E][10][5E][49][00][20][33]
24955437 : Rx: [10][19][6B][40][7C][07][FF][34]
24955687 : Rx: [19][3F][0F][5E][49][00][20][33]
24955937 : Rx fail
24956171 : Rx: [10][19][6D][41][60][07][FF][34]
24956421 : Rx: [10][19][6F][42][D0][07][FF][34]
24956687 : Rx: [19][41][10][5E][49][00][20][33]
24956921 : Rx: [10][19][71][43][23][08][FF][34]
24957171 : Rx: [19][42][10][5E][49][00][20][33]
24957421 : Rx: [10][19][73][43][EB][07][FF][34]
24957687 : Rx: [19][43][10][5E][49][00][20][33]
24957937 : Rx: [10][19][75][44][EB][07][FF][34]
24958187 : Rx: [19][44][10][5E][49][00][20][33]
24958437 : Rx fail
24958671 : Rx: [19][45][10][5E][49][00][20][33]
24958937 : Rx: [10][19][79][46][7C][07][FF][34]
24959187 : Rx: [19][46][0F][5E][49][00][20][33]
24959437 : Rx: [10][19][7B][47][45][07][FF][34]
24959671 : Rx fail
24959937 : Rx: [10][19][7D][48][B4][07][FF][34]
24960187 : Rx: [19][48][10][5E][49][00][20][33]
24960421 : Rx: [10][19][7F][49][D0][07][FF][34]
24960671 : Rx: [51][FF][02][14][87][9E][5C][33]
24960937 : Rx: [51][FF][02][14][87][9E][5C][33]
24961187 : Rx: [19][49][10][5E][49][00][20][33]
24961437 : Rx: [10][19][83][4B][07][08][FF][34]
24961671 : Rx: [19][4A][11][5E][49][00][20][33]
24961921 : Rx: [10][19][85][4C][76][08][FF][34]
24962187 : Rx: [19][4B][11][5E][49][00][20][33]
